hour,count
20/10/2022 00H,117
20/10/2022 01H,87
20/10/2022 02H,99
20/10/2022 03H,90
20/10/2022 04H,51
20/10/2022 05H,59
20/10/2022 06H,37
20/10/2022 07H,33
20/10/2022 08H,42
20/10/2022 09H,46
20/10/2022 10H,37
20/10/2022 11H,83
20/10/2022 12H,72
20/10/2022 13H,82
20/10/2022 14H,70
20/10/2022 15H,94
20/10/2022 16H,95
20/10/2022 17H,86
20/10/2022 18H,58
20/10/2022 19H,73
20/10/2022 20H,53
20/10/2022 21H,55
20/10/2022 22H,44
20/10/2022 23H,46
21/10/2022 00H,54
21/10/2022 01H,39
21/10/2022 02H,39
21/10/2022 03H,34
21/10/2022 04H,50
21/10/2022 05H,33
21/10/2022 06H,32
21/10/2022 07H,36
21/10/2022 08H,22
21/10/2022 09H,27
21/10/2022 10H,22
21/10/2022 11H,25
21/10/2022 12H,49
21/10/2022 13H,46
21/10/2022 14H,37
21/10/2022 15H,39
21/10/2022 16H,31
21/10/2022 17H,40
21/10/2022 18H,41
21/10/2022 19H,49
21/10/2022 20H,51
21/10/2022 21H,34
21/10/2022 22H,48
21/10/2022 23H,25
22/10/2022 00H,40
22/10/2022 01H,34
22/10/2022 02H,26
22/10/2022 03H,27
22/10/2022 04H,37
22/10/2022 05H,21
22/10/2022 06H,24
22/10/2022 07H,26
22/10/2022 08H,31
22/10/2022 09H,13
22/10/2022 10H,22
22/10/2022 11H,25
22/10/2022 12H,35
22/10/2022 13H,29
22/10/2022 14H,26
22/10/2022 15H,36
22/10/2022 16H,46
22/10/2022 17H,43
22/10/2022 18H,38
22/10/2022 19H,31
22/10/2022 20H,43
22/10/2022 21H,30
22/10/2022 22H,37
22/10/2022 23H,23
23/10/2022 00H,24
23/10/2022 01H,47
23/10/2022 02H,21
23/10/2022 03H,23
23/10/2022 04H,18
23/10/2022 05H,18
23/10/2022 06H,21
23/10/2022 07H,11
23/10/2022 08H,16
23/10/2022 09H,23
23/10/2022 10H,28
23/10/2022 11H,35
23/10/2022 12H,39
23/10/2022 13H,25
23/10/2022 14H,45
23/10/2022 15H,43
23/10/2022 16H,59
23/10/2022 17H,40
23/10/2022 18H,46
23/10/2022 19H,59
23/10/2022 20H,83
23/10/2022 21H,38
23/10/2022 22H,44
23/10/2022 23H,58
24/10/2022 00H,56
24/10/2022 01H,49
24/10/2022 02H,42
24/10/2022 03H,49
24/10/2022 04H,52
24/10/2022 05H,36
24/10/2022 06H,22
24/10/2022 07H,22
24/10/2022 08H,25
24/10/2022 09H,18
24/10/2022 10H,35
24/10/2022 11H,34
24/10/2022 12H,38
24/10/2022 13H,64
24/10/2022 14H,40
24/10/2022 15H,52
24/10/2022 16H,49
24/10/2022 17H,50
24/10/2022 18H,42
24/10/2022 19H,67
24/10/2022 20H,30
24/10/2022 21H,43
24/10/2022 22H,35
24/10/2022 23H,78
25/10/2022 00H,38
25/10/2022 01H,33
25/10/2022 02H,23
25/10/2022 03H,22
25/10/2022 04H,22
25/10/2022 05H,31
25/10/2022 06H,21
25/10/2022 07H,10
25/10/2022 08H,13
25/10/2022 09H,17
25/10/2022 10H,19
25/10/2022 11H,31
25/10/2022 12H,32
25/10/2022 13H,55
25/10/2022 14H,35
25/10/2022 15H,43
25/10/2022 16H,47
25/10/2022 17H,47
25/10/2022 18H,37
25/10/2022 19H,59
25/10/2022 20H,54
25/10/2022 21H,56
25/10/2022 22H,49
25/10/2022 23H,41
26/10/2022 00H,43
26/10/2022 01H,39
26/10/2022 02H,39
26/10/2022 03H,42
26/10/2022 04H,35
26/10/2022 05H,56
26/10/2022 06H,29
26/10/2022 07H,15
26/10/2022 08H,24
26/10/2022 09H,19
26/10/2022 10H,32
26/10/2022 11H,27
26/10/2022 12H,41
26/10/2022 13H,23
26/10/2022 14H,31
26/10/2022 15H,51
26/10/2022 16H,51
26/10/2022 17H,46
26/10/2022 18H,49
26/10/2022 19H,66
26/10/2022 20H,54
26/10/2022 21H,47
26/10/2022 22H,45
26/10/2022 23H,58
27/10/2022 00H,41
27/10/2022 01H,34
27/10/2022 02H,37
27/10/2022 03H,26
27/10/2022 04H,28
27/10/2022 05H,30
27/10/2022 06H,25
27/10/2022 07H,30
27/10/2022 08H,20
27/10/2022 09H,26
27/10/2022 10H,25
27/10/2022 11H,28
27/10/2022 12H,34
27/10/2022 13H,43
27/10/2022 14H,52
27/10/2022 15H,72
27/10/2022 16H,57
27/10/2022 17H,65
27/10/2022 18H,57
27/10/2022 19H,77
27/10/2022 20H,54
27/10/2022 21H,41
27/10/2022 22H,46
27/10/2022 23H,45
28/10/2022 00H,55
28/10/2022 01H,181
28/10/2022 02H,226
28/10/2022 03H,158
28/10/2022 04H,388
28/10/2022 05H,224
28/10/2022 06H,232
28/10/2022 07H,308
28/10/2022 08H,282
28/10/2022 09H,259
28/10/2022 10H,203
28/10/2022 11H,252
28/10/2022 12H,288
28/10/2022 13H,332
28/10/2022 14H,669
28/10/2022 15H,600
28/10/2022 16H,530
28/10/2022 17H,462
28/10/2022 18H,791
28/10/2022 19H,774
28/10/2022 20H,563
28/10/2022 21H,802
28/10/2022 22H,535
28/10/2022 23H,536
29/10/2022 00H,514
29/10/2022 01H,407
29/10/2022 02H,586
29/10/2022 03H,275
29/10/2022 04H,366
29/10/2022 05H,350
29/10/2022 06H,380
29/10/2022 07H,309
29/10/2022 08H,486
29/10/2022 09H,363
29/10/2022 10H,390
29/10/2022 11H,290
29/10/2022 12H,367
29/10/2022 13H,442
29/10/2022 14H,465
29/10/2022 15H,787
29/10/2022 16H,707
29/10/2022 17H,445
29/10/2022 18H,785
29/10/2022 19H,1088
29/10/2022 20H,770
29/10/2022 21H,728
29/10/2022 22H,774
29/10/2022 23H,979
